Parti,Nombre de sièges,Nombre de voix,commune,date,election
be@eu,,25,Ixelles,2019,parlement-de-la-région-de-bruxelles-capitale
ECOLO,,3286,Jette,2019,parlement-de-la-région-de-bruxelles-capitale
open vld,,745,Jette,2019,parlement-de-la-région-de-bruxelles-capitale
CDH,,2245,Jette,2019,parlement-de-la-région-de-bruxelles-capitale
MR,,2804,Jette,2019,parlement-de-la-région-de-bruxelles-capitale
Parti Populaire,,391,Jette,2019,parlement-de-la-région-de-bruxelles-capitale
N-VA,,977,Jette,2019,parlement-de-la-région-de-bruxelles-capitale
VLAAMS BELANG,,606,Jette,2019,parlement-de-la-région-de-bruxelles-capitale
CD&V,,440,Jette,2019,parlement-de-la-région-de-bruxelles-capitale
DéFI,,2174,Jette,2019,parlement-de-la-région-de-bruxelles-capitale
PTB,,2664,Jette,2019,parlement-de-la-région-de-bruxelles-capitale
LISTES DESTEXHE,,536,Jette,2019,parlement-de-la-région-de-bruxelles-capitale
GROEN,,895,Jette,2019,parlement-de-la-région-de-bruxelles-capitale
PS,,3795,Jette,2019,parlement-de-la-région-de-bruxelles-capitale
PVDA,,152,Jette,2019,parlement-de-la-région-de-bruxelles-capitale
Agora,,90,Jette,2019,parlement-de-la-région-de-bruxelles-capitale
one.brussels-sp.a,,698,Jette,2019,parlement-de-la-région-de-bruxelles-capitale
act-SALEM,,110,Jette,2019,parlement-de-la-région-de-bruxelles-capitale
DierAnimal,,298,Jette,2019,parlement-de-la-région-de-bruxelles-capitale
PLAN B,,56,Jette,2019,parlement-de-la-région-de-bruxelles-capitale
Hé,,46,Jette,2019,parlement-de-la-région-de-bruxelles-capitale
Be.One,,138,Jette,2019,parlement-de-la-région-de-bruxelles-capitale
COLLECTIF CITOYEN,,117,Jette,2019,parlement-de-la-région-de-bruxelles-capitale
DIERANIMAL - NL,,51,Jette,2019,parlement-de-la-région-de-bruxelles-capitale
be@eu,,25,Jette,2019,parlement-de-la-région-de-bruxelles-capitale
ECOLO,,985,Koekelberg,2019,parlement-de-la-région-de-bruxelles-capitale
open vld,,215,Koekelberg,2019,parlement-de-la-région-de-bruxelles-capitale
CDH,,542,Koekelberg,2019,parlement-de-la-région-de-bruxelles-capitale
MR,,1121,Koekelberg,2019,parlement-de-la-région-de-bruxelles-capitale
Parti Populaire,,131,Koekelberg,2019,parlement-de-la-région-de-bruxelles-capitale
N-VA,,298,Koekelberg,2019,parlement-de-la-région-de-bruxelles-capitale
VLAAMS BELANG,,143,Koekelberg,2019,parlement-de-la-région-de-bruxelles-capitale
CD&V,,99,Koekelberg,2019,parlement-de-la-région-de-bruxelles-capitale
DéFI,,524,Koekelberg,2019,parlement-de-la-région-de-bruxelles-capitale
PTB,,1007,Koekelberg,2019,parlement-de-la-région-de-bruxelles-capitale
LISTES DESTEXHE,,123,Koekelberg,2019,parlement-de-la-région-de-bruxelles-capitale
GROEN,,284,Koekelberg,2019,parlement-de-la-région-de-bruxelles-capitale
PS,,2279,Koekelberg,2019,parlement-de-la-région-de-bruxelles-capitale
PVDA,,55,Koekelberg,2019,parlement-de-la-région-de-bruxelles-capitale
Agora,,31,Koekelberg,2019,parlement-de-la-région-de-bruxelles-capitale
one.brussels-sp.a,,282,Koekelberg,2019,parlement-de-la-région-de-bruxelles-capitale
act-SALEM,,38,Koekelberg,2019,parlement-de-la-région-de-bruxelles-capitale
DierAnimal,,86,Koekelberg,2019,parlement-de-la-région-de-bruxelles-capitale
PLAN B,,15,Koekelberg,2019,parlement-de-la-région-de-bruxelles-capitale
Hé,,12,Koekelberg,2019,parlement-de-la-région-de-bruxelles-capitale
Be.One,,95,Koekelberg,2019,parlement-de-la-région-de-bruxelles-capitale
COLLECTIF CITOYEN,,36,Koekelberg,2019,parlement-de-la-région-de-bruxelles-capitale
DIERANIMAL - NL,,11,Koekelberg,2019,parlement-de-la-région-de-bruxelles-capitale
be@eu,,5,Koekelberg,2019,parlement-de-la-région-de-bruxelles-capitale
ECOLO,,3529,Molenbeek-Saint-Jean,2019,parlement-de-la-région-de-bruxelles-capitale
open vld,,731,Molenbeek-Saint-Jean,2019,parlement-de-la-région-de-bruxelles-capitale
CDH,,2469,Molenbeek-Saint-Jean,2019,parlement-de-la-région-de-bruxelles-capitale
MR,,3590,Molenbeek-Saint-Jean,2019,parlement-de-la-région-de-bruxelles-capitale
Parti Populaire,,451,Molenbeek-Saint-Jean,2019,parlement-de-la-région-de-bruxelles-capitale
N-VA,,1022,Molenbeek-Saint-Jean,2019,parlement-de-la-région-de-bruxelles-capitale
VLAAMS BELANG,,502,Molenbeek-Saint-Jean,2019,parlement-de-la-région-de-bruxelles-capitale
CD&V,,376,Molenbeek-Saint-Jean,2019,parlement-de-la-région-de-bruxelles-capitale
